time,theta1,omega1,theta2,omega2,x1,y1,x2,y2
0.0,1.5707963267948966,0.0,1.5707963267948966,0.0,1.0,6.123233995736766e-17,2.0,1.2246467991473532e-16
0.01,1.5703058268194818,-0.09809998131516744,1.57079632675556,-3.1469192431702085e-08,0.9999998797048895,0.000490499955746538,1.9999998797048895,0.0004904999950831333
0.02,1.5688343285453659,-0.19619946699390922,1.5707963238053304,-9.126010370547367e-07,0.9999980752820519,0.001961996990766179,1.9999980752820519,0.00196199998033239
0.03,1.5663818468414017,-0.2942959789566665,1.5707962924547252,-6.891538705602044e-06,0.9999902561991938,0.004414465615547836,1.9999902561991934,0.004414499955719271
0.04,1.5629484395266144,-0.3923830752273533,1.5707961335850942,-2.9011745531577466e-05,0.9999692054907637,0.007847806710837806,1.999969205490745,0.007847999920640246
0.05,1.5585342569008835,-0.49044837283179776,1.5707955895369967,-8.850162964792719e-05,0.9999248217629373,0.012261762612207208,1.9999248217626655,0.01226249987010711
0.06,1.5531396109937845,-0.5884715831427777,1.5707941253899669,-0.0002201435311488701,0.9998441242432696,0.017655798373599256,1.9998441242408465,0.017657999778528995
0.07,1.5467650643382373,-0.6864225748102915,1.570790776754299,-0.00047559696112505834,0.9997112631082716,0.024028949508126146,1.9997112630928702,0.024034499548723724
0.08,1.5394115378798119,-0.7842594886434477,1.5707839647203534,-0.0009266356486246521,0.9995075379375005,0.031379636806629176,1.99950753786109,0.031391998881172056
0.09,1.5310804373345983,-0.8819269399514787,1.570771279105714,-0.0016682393869319168,0.9992114277250272,0.039705449294934345,1.9992114274113337,0.03973049698411433
0.1,1.5217737968915637,-0.979354356413291,1.5707492318342018,-0.0028214606284886986,0.9987986364037786,0.04900289703632139,1.9987986352948108,0.04904999199699881
0.11,1.5114944386087867,-1.0764545127275638,1.5707129831923456,-0.004535963484181138,0.9982421582715855,0.05926713633445596,1.9982421547985074,0.05935047993691045
0.12,1.500246145176265,-1.1731223359148744,1.5706560448424167,-0.006992111054270251,0.997512368007014,0.0704916709479879,1.997512358167501,0.0706319529000077
